Keyword,Search_Volume,Keyword_Difficulty,Current_Rank,Target_Rank,CPC,Intent
best SEO tools,5400,72,15,5,8.9,Commercial
SEO audit checklist,2900,58,8,3,6.2,Informational
local SEO optimization,3300,64,12,5,7.4,Commercial
voice search SEO,1800,43,6,1,5.1,Informational
technical SEO guide,4200,69,23,8,9.3,Informational
keyword research tools,6700,75,18,10,11.2,Commercial
SEO analytics dashboard,880,41,4,1,4.8,Commercial
schema markup tutorial,1200,38,3,1,3.9,Informational
E-A-T SEO strategy,990,47,11,5,6.8,Informational
Core Web Vitals optimization,2100,62,14,7,7.6,Informational
backlink building strategies,3800,71,19,12,9.8,Informational
mobile SEO best practices,2400,59,9,5,6.9,Informational
